1,Test,0,5.1044,0.13032,desierto
2,Alcohol,1,3.4472,0.22143,alcohol
3,Avion,0,1.7659,0.66365,aeoropuerto
4,Barco,1,1.0372,1.2205,navy
5,Biblioteca,0,1.5113,1.0916,biblioteca
6,Campo,0,1.1567,0.71066,granja
7,Cementerio,1,1.5398,0.73483,funaral
8,Circo,1,2.5406,0.28237,circo
9,Cocina,0,1.3733,0.67849,chef
10,Comida,0,1.7644,1.0299,comida
11,Computadora,0,2.9203,0.67605,computacion
12,Desayuno,0,1.4386,0.25378,desayuino
13,Equipo,1,2.5012,0.88894,brazos
14,Espacio,1,2.4858,0.48275,nasa
15,Fiesta,0,3.1458,0.82853,fiesta
16,Fuego,1,1.1465,0.94121,bomberos
17,Granjero,1,1.7646,0.62182,nayturaleza
18,Guerra,1,0.9666,0.68002,guerra
19,Laboratorio,1,1.4645,0.5819,ciencia
20,Lluvia,1,1.1605,0.69085,lluvia
21,Medico,0,1.5456,0.77122,medico
22,Navidad,1,2.2466,1.0764,navidad
23,Pintor,0,1.6739,0.67933,pintor
24,Plomero,0,4.7952,0.4032,acaetriaa
25,Robo,0,1.4824,0.67124,banco
26,Television,0,1.4392,1.062,tv
