1,Test,0,27.7523,0.24181,esi
2,Alcohol,0,2.0718,0.15713,bebida
3,Avion,0,1.4746,0.37551,aerolinea
4,Barco,1,1.9906,0.18596,navio
5,Biblioteca,1,2.7644,0.55741,biblioteca
6,Campo,0,2.2645,0.27801,granja
7,Cementerio,0,1.5112,0.49203,muerte
8,Circo,0,1.241,0.21604,coemmedia
9,Cocina,0,0.97839,0.2193,chef
10,Comida,1,1.7913,0.13564,comida
11,Computadora,0,1.5852,0.15403,tecnologia
12,Desayuno,0,1.3105,0.79515,bebida
13,Equipo,0,1.2345,0.4817,mano
14,Espacio,1,1.2711,0.14846,espacio
15,Fiesta,1,2.0455,0.45936,bonete
16,Fuego,0,1.7232,0.12503,fuego
17,Granjero,1,1.2165,0.14395,animal
18,Guerra,1,1.3917,0.26408,guerra
19,Laboratorio,1,2.549,0.20785,investigacion
20,Lluvia,0,1.3468,0.092402,agua
21,Medico,0,2.6859,0.8112,medicina
22,Navidad,1,1.4006,0.20058,celebracion
23,Pintor,1,2.0584,0.28898,pintura
24,Plomero,0,1.1891,0.30999,herramienta
25,Robo,1,1.8545,0.10101,inero
26,Television,1,1.8091,0.73808,televisor
