1,Test,0,3.9972,3.8049,desierto
2,Alcohol,1,3.3771,1.1782,tragos
3,Avion,1,9.7799,1.1805,viaje
4,Barco,0,4.4625,1.9724,barco
5,Biblioteca,0,2.8911,0.74392,biblioteca
6,Campo,0,3.0272,0.83526,granja
7,Cementerio,1,10.5238,1.0399,muerte
8,Circo,1,3.2178,1.1534,circo
9,Cocina,1,4.3152,1.0067,cocinas
10,Comida,1,8.4911,0.8161,chatarra
11,Computadora,0,6.3476,0.94999,perifericos
12,Desayuno,0,4.4745,1.6399,desayuno
13,Equipo,0,9.1598,0.83395,manos
14,Espacio,1,7.6252,1.3605,espacio
15,Fiesta,1,5.3311,1.3417,cumpleanios
16,Fuego,0,9.9298,0.82887,incendio
17,Granjero,1,12.4378,1.0046,alimewnto
18,Guerra,0,3.2686,1.9219,ejercito
19,Laboratorio,0,7.4761,2.1855,experimento
20,Lluvia,0,4.5205,1.0607,lluvia
21,Medico,0,7.2898,1.2706,doctor
22,Navidad,1,1.9107,0.94594,fiesta
23,Pintor,0,2.8951,0.95796,pintar
24,Plomero,0,8.7278,0.92329,plomeria
25,Robo,1,4.8584,1.0632,dinero
26,Television,1,10.9497,1.1124,television
