1,Test,0,1.848,0.23121,esierto
2,Alcohol,1,0.67147,1.365,bebida
3,Avion,0,1.4021,0.23419,avion
4,Barco,1,1.0462,0.73226,barco
5,Biblioteca,0,1.366,0.71161,biblioteca
6,Campo,1,1.1122,0.20404,campo
7,Cementerio,1,1.1494,0.67144,muerte
8,Circo,1,1.1601,1.4112,circo
9,Cocina,1,0.77671,0.56361,cocina
10,Comida,1,1.4141,0.52597,comida
11,Computadora,1,1.8435,0.89841,tecnologia
12,Desayuno,0,1.0346,0.6504,desayuno
13,Equipo,1,0.65201,0.85868,paz
14,Espacio,0,1.2642,0.6379,espacio
15,Fiesta,1,1.8347,0.23364,fiesta
16,Fuego,0,1.4907,0.86391,fuego
17,Granjero,0,1.1381,0.41836,naturaleza
18,Guerra,0,1.5119,0.21844,guerra
19,Laboratorio,1,1.5267,0.90656,ciencia
20,Lluvia,0,1.2726,0.41382,lluvia
21,Medico,0,1.988,0.97107,medicina
22,Navidad,0,1.3507,0.17956,fiesta
23,Pintor,0,1.6983,0.47024,pintura
24,Plomero,0,4.1188,0.083018,anilala
25,Robo,0,2.526,1.1625,banco
26,Television,1,0.68282,0.77575,tecnologia
